Tipo_De_Ocorrencia,Data_Consulta_Api,Status,Quantidade_De_Ocorrencias
Asfalto Liso (SMI),2023-07-08 17:08,FINALIZADO,1
Buraco na via,2023-07-08 17:08,FINALIZADO,1
Buraco na via,2023-07-08 17:08,PRESENTE,1
Evento Musical - NUMANICE,2023-07-08 17:08,PRESENTE,1
Evento esportivo - Vasco x Cruzeiro,2023-07-08 17:08,PRESENTE,1
Inc√™ndio em Vegeta√ß√£o,2023-07-08 17:08,INFORMADO,1
Obra na Via (GEO RIO),2023-07-08 17:08,PRESENTE,1
Obra na Via (Rio √Åguas) ,2023-07-08 17:08,INFORMADO,1
Obra na Via (Rio √Åguas) ,2023-07-08 17:08,PRESENTE,1
Obra na Via (√Åguas do Rio),2023-07-08 17:08,PRESENTE,1
Obra na via (GEO-RIO),2023-07-08 17:08,FINALIZADO,1
Obra na via (GEORIO),2023-07-08 17:08,PRESENTE,1
Obra na via (Rio √Åguas),2023-07-08 17:08,PRESENTE,1
Obra na via (SECONSERVA),2023-07-08 17:08,PRESENTE,1
Vazamento de √°gua ,2023-07-08 17:08,INFORMADO,1
Vazamento de √°gua (IGU√Å),2023-07-08 17:08,PRESENTE,1
Asfalto Liso (SMI),2023-07-08 17:08,FINALIZADO,1
Buraco na via,2023-07-08 17:08,FINALIZADO,1
Buraco na via,2023-07-08 17:08,PRESENTE,1
Evento Musical - NUMANICE,2023-07-08 17:08,PRESENTE,1
Evento esportivo - Vasco x Cruzeiro,2023-07-08 17:08,PRESENTE,1
IncÍndio em VegetaÁ„o,2023-07-08 17:08,INFORMADO,1
Obra na Via (GEO RIO),2023-07-08 17:08,PRESENTE,1
Obra na Via (Rio ¡guas) ,2023-07-08 17:08,INFORMADO,1
Obra na Via (Rio ¡guas) ,2023-07-08 17:08,PRESENTE,1
Obra na Via (¡guas do Rio),2023-07-08 17:08,PRESENTE,1
Obra na via (GEO-RIO),2023-07-08 17:08,FINALIZADO,1
Obra na via (GEORIO),2023-07-08 17:08,PRESENTE,1
Obra na via (Rio ¡guas),2023-07-08 17:08,PRESENTE,1
Obra na via (SECONSERVA),2023-07-08 17:08,PRESENTE,1
Vazamento de ·gua ,2023-07-08 17:08,INFORMADO,1
Vazamento de ·gua (IGU¡),2023-07-08 17:08,PRESENTE,1
